"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"THM","ICHT232 Introduction to Hospitality and Tourism Industry 4(3-2-7)","01","master","Pisut YUWANOND","40","34","34","6","1302 (Tue 09:00 - 11:50)","Wed 05-04-2017 18:00 - 19:50 [1502 - Lecture Room]"
"SS","ICSO341 Society,Politics and Economics in Contemporary East Asia 4(4-0-8)","01","master","Hardina OHLENDORF","40","18","18","22","3317 (Tue 12:00 - 13:50)                 3317 (Thu 12:00 - 13:50)","[Room-TBA]"
"BBA","ICMF312 Intermediate Accounting II 4(4-0-8)","01","master","Kanyarat SANORAN","40","1","1","39","1403 (Fri 16:00 - 17:50)                 1403 (Fri 18:00 - 19:50)","Sat 08-04-2017 12:00 - 13:50 [3305 - Lecture Room]"
"SCI","ICCH390 Organic Chemistry Laboratory Techniques 2(0-4-2)","01","master","Pakorn BOVONSOMBAT","15","9","9","6","3504 (Thu 08:00 - 11:50)","Tue 04-04-2017 08:00 - 09:50 [3302 - Lecture Room]"
"SS","ICSS221 Thai Society and Thai Culture 4(4-0-8)","01","joint","Matthew Phillip COPELAND","25","24","24","1","2302 (Mon 10:00 - 11:50)                 2302 (Wed 10:00 - 11:50)","[Room-TBA]"
"HLD","ICHM143 Introduction to Photography 4(2-4-6)","01","master","Jack PICONE","25","25","25","0","P319 (Tue 10:00 - 12:00)                 P319 (Tue 12:00 - 16:00)","[Room-TBA]"
"SCI","ICNS101 Introduction to Mathematics 4(4-0-8)","01","master","Pannee PUTTHAPIBAN","25","19","19","6","1308 (Tue 10:00 - 11:50)                 1308 (Thu 10:00 - 11:50)","Sat 08-04-2017 10:00 - 11:50 [1303 - Lecture Room]"
"SCI","ICCH445 Integrated Laboratory Techniques in Chemistry III 2(0-4-2)","01","master","Radchada BUNTEM","25","3","3","22","3504 (Sat 08:00 - 11:50)","Sat 08-04-2017 10:00 - 11:50 [3305 - Lecture Room]"
"BBA","ICMK328 Marketing Channel Management 4(4-0-8)","01","master","Kandapa THANASUTA","40","40","40","0","1305 (Mon 10:00 - 11:50)                 1406 (Wed 10:00 - 11:50)","Mon 03-04-2017 16:00 - 17:50 [1418 - 1418]"
"BBA","ICMB491 Practical Business Training - On Campus 8(0-24-8)","01","master","Apiradee WONGKITRUNGRUENG","19","19","19","0","","[Room-TBA]"
"FAA","ICFP302 Documentary Film Production 4(0-8-4)","01","master","Leslie Oliver","20","19","19","1","P322 (Mon 08:00 - 12:00)                 P322 (Wed 08:00 - 12:00)","[Room-TBA]"
"BBA","ICMI360 Leadership Development 4(4-0-8)","01","joint","Chairawee ANAMTHAWAT-KIERIG","40","2","2","-1","2308 (Tue 08:00 - 09:50)                 2308 (Thu 08:00 - 09:50)","Wed 05-04-2017 10:00 - 11:50 [1504 - Lecture Room]"
"FAA","ICFP321 Major Directors 4(4-0-8)","01","master","Anocha Suwichakornpong","30","14","14","16","P320 (Thu 13:00 - 17:00)","[Room-TBA]"
"FAA","ICMC104 Audio Communication  4(4-0-8)","01","master","Thanapol SETABRAHMANA","40","29","29","11","P319 (Mon 08:00 - 12:00)","[Room-TBA]"
"HLD","ICML162 Elementary Thai II 4(4-0-8)","01","master","Arpaporn IEMUBOL","20","11","11","9","5208 (Mon 10:00 - 11:50)                 5208 (Wed 10:00 - 11:50)","Tue 04-04-2017 10:00 - 11:50 [5208 - HLD Lecture Room]"
"SS","ICSO365 Genocide and Ethnic Cleansing 4(4-0-8)","01","master","Iljas BAKER","40","14","14","26","2302 (Tue 14:00 - 15:50)                 2302 (Thu 14:00 - 15:50)","[Room-TBA]"
"SCI","ICBI382 Systematic Biology and Biodiversity 4(4-0-8)","01","master","Laird ALLAN","40","24","24","16","3317 (Wed 16:00 - 17:50)                 3317 (Fri 16:00 - 17:50)","Fri 07-04-2017 16:00 - 17:50 [3303 - Lecture Room]"
"HLD","ICHL162 German II for Hospitality and Tourism Industry 4(4-0-8)","01","joint","Jan STEVENER","20","1","1","-1","5210 (Mon 14:00 - 15:50)                 5210 (Wed 14:00 - 15:50)","Tue 04-04-2017 10:00 - 11:50 [1504 - Lecture Room]"
"HLD","ICPE107 Physical Education : Volleyball 1(0-3-1)","01","master","Roman CHIRASANTA","25","20","20","5","(Tue 14:00 - 15:50)","[Room-TBA]"
"HLD","ICHL102 Japanese II for Hospitality and Tourism Industry 4(4-0-8)","01","joint","Takayoshi FUJIWARA","20","1","1","0","5212 (Tue 10:00 - 11:50)                 5212 (Thu 10:00 - 11:50)","Tue 04-04-2017 10:00 - 11:50 [1314 - Lecture Room]"
"THM","ICTM213 Finance for Travel Industry 4(4-0-8)","01","master","Chanin YOOPETCH","40","1","12","28","1502 (Wed 08:00 - 09:50)                 1502 (Wed 10:00 - 11:50)","Fri 07-04-2017 08:00 - 09:50 [1314 - Lecture Room]"
"FAA","ICFP312 Film Production Studio VI 4(0-8-4)","01","master","Lee  Chatametikool","20","18","18","2","P319 (Fri 08:00 - 12:00)                 P319 (Fri 13:00 - 17:00)","[Room-TBA]"
"BBA","ICBE449 International Trade and Finance 4(4-0-8)","01","master","Yingyot CHIARAVUTTHI","45","47","47","-2","1405 (Fri 08:00 - 09:50)                 1405 (Fri 10:00 - 11:50)","Fri 07-04-2017 08:00 - 09:50 [1504 - Lecture Room]"
"FAA","ICAP101 Introduction to Animation 4(4-0-8)","01","master","Millicent YOUNG","30","11","15","15","P315 (Fri 13:00 - 17:00)","[Room-TBA]"
"THM","ICTM320 Lodging Property Management 4(3-2-7)","01","master","Pisut YUWANOND","40","5","30","10","1504 (Thu 12:00 - 14:50)","Sun 09-04-2017 08:00 - 09:50 [1403 - 1403]"
"SS","ICSS116 Introduction to Political  Science 4(4-0-8)","01","master","William Jones","40","36","36","4","1419 (Mon 12:00 - 13:50)                 1419 (Wed 12:00 - 13:50)","Fri 07-04-2017 08:00 - 09:50 [1502 - Lecture Room]"
"BBA","ICMB221 Principles of Marketing 4(4-0-8)","01","master","Chompunuch PONGJIT","40","40","40","0","1407 (Tue 08:00 - 09:50)                 1407 (Thu 08:00 - 09:50)","Tue 04-04-2017 18:00 - 19:50 [1418 - 1418]"
"FAA","ICCD240 Typography I 4(0-8-4)","01","master","Dynaya BHUTIPUN","20","12","12","8","E3211 (Wed 08:00 - 12:00)                 E3211 (Wed 13:00 - 17:00)","[Room-TBA]"
"FAA","ICCD242 Design Technology I 4(0-8-4)","01","master","Cholrit LUANGJINDA","20","13","13","7","P316 (Fri 08:00 - 12:00)                 P316 (Fri 13:00 - 17:00)","[Room-TBA]"
"SS","ICSS136 Religious Experience and Traditions 4(4-0-8)","01","master","Ruchi AGARWAL","40","39","39","1","1502 (Tue 08:00 - 09:50)                 1504 (Thu 08:00 - 09:50)","Tue 04-04-2017 08:00 - 09:50 [1306 - Lecture Room]"
"FAA","ICTP402 Television Production Senior Project I 4(0-12-4)","01","master","Jintanant Chaya SUBHAMITR","20","6","6","14","","[Room-TBA]"
"SS","ICSO262 Global Resources 4(4-0-8)","01","master","Iljas BAKER","40","4","16","24","2302 (Tue 12:00 - 13:50)                 2302 (Thu 12:00 - 13:50)","[Room-TBA]"
"BBA","ICIS371 Computer Networking 4(4-0-8)","01","master","Wasinee NOONPAKDEE","40","9","9","31","3411 (Tue 12:00 - 13:50)                 3411 (Tue 14:00 - 15:50)","Tue 04-04-2017 14:00 - 15:50 [3302 - Lecture Room]"
"THM","ICTM214 Economics of Tourism 4(4-0-8)","01","master","Veerisa CHOTIYAPUTTA","40","1","27","13","1502 (Mon 08:00 - 09:50)                 1502 (Mon 10:00 - 11:50)","[Room-TBA]"
"THM","ICIH351 International Service Quality Management 4(4-0-8)","01","joint","Suwadee TALAWANICH","35","18","18","17","1404 (Fri 08:00 - 09:50)                 1404 (Fri 10:00 - 11:50)","Fri 07-04-2017 08:00 - 09:50 [1306 - Lecture Room]"
"BBA","ICMB485 Special Topics in Business (5) 4(4-0-8)","01","master","Sascha FUNK","40","28","28","12","1305 (Fri 08:00 - 09:50)                 1305 (Fri 10:00 - 11:50)","Fri 07-04-2017 08:00 - 09:50 [1303 - Lecture Room]"
"HLD","ICPE118 Physical Education : American Flag Football 1(0-3-1)","01","master","Roman CHIRASANTA","25","19","19","6","(Mon 16:00 - 17:50)","[Room-TBA]"
"THM","ICTM352 Tourism and Hospitality Law 4(4-0-8)","01","master","Quanvari PRAMOJ NA AYUDHAYA","40","1","29","11","1406 (Tue 10:00 - 11:50)                 1406 (Thu 10:00 - 11:50)","Wed 05-04-2017 16:00 - 17:50 [1315 - Lecture Room]"
"BBA","ICMB364 Operations Management 4(4-0-8)","01","master","Nassim DEHOUCHE","40","40","40","0","1513 (Tue 14:00 - 15:50)                 1513 (Thu 14:00 - 15:50)","Mon 03-04-2017 14:00 - 15:50 [1512 - Computer Lab]"
"SCI","ICNS171 The Scientific Approach and Society 4(3-2-7)","01","master","Brian J. PHILLIPS","30","29","29","1","3315 (Mon 10:00 - 11:50)                 3306 (Fri 08:00 - 08:50)                 3306 (Fri 09:00 - 10:50)","Fri 07-04-2017 08:00 - 09:50 [1503 - Lecture Room]"
"SCI","ICNS141 Computer Essentials 4(3-2-7)","01","master","Brian J. PHILLIPS","25","25","25","0","1406 (Mon 12:00 - 13:50)                 1512 (Fri 12:00 - 12:50)                 1512 (Fri 13:00 - 13:50)","Mon 03-04-2017 12:00 - 13:50 [1302 - Lecture Room]"
"FAA","ICCD352 Integrated Branding 4(0-8-4)","01","master","Chanokmont RUKSAKIATI","5","1","1","4","E3212 (Thu 08:00 - 12:00)                 E3212 (Thu 13:00 - 17:00)","[Room-TBA]"
"SCI","ICNS104 Fundamental Statistics 4(4-0-8)","01","master","Akarin PHAIBULPANICH","25","28","28","-3","3315 (Mon 08:00 - 09:50)                 3315 (Wed 08:00 - 09:50)","Sat 08-04-2017 12:00 - 13:50 [1314 - Lecture Room]"
"FAA","ICCD243 Design Technology II 4(0-8-4)","01","master","Dynaya BHUTIPUN","20","11","11","9","E3211 (Mon 08:00 - 12:00)                 E3211 (Mon 13:00 - 17:00)","[Room-TBA]"
"BBA","ICBE342 Intermediate Microeconomics 4(4-0-8)","01","master","Dolchai LA-ORNUAL","40","32","32","8","1303 (Mon 08:00 - 09:50)                 1303 (Wed 08:00 - 09:50)","Wed 05-04-2017 08:00 - 09:50 [1402 - 1402]"
"HLD","ICPE105 Physical Education : Swimming 1(0-3-1)","01","master","Mahattana KANCHANAPAKORN","15","14","14","1","(Mon 16:00 - 17:50)","[Room-TBA]"
"SCI","EGCI427 Web Programming 4(4-0-8)","01","master","Lalita NARUPIYAKUL","20","7","7","13","6272 (Thu 10:00 - 11:50)                 6272 (Fri 08:00 - 09:50)","[Room-TBA]"
"FAA","ICCD476 Green Design Seminar 4(4-0-8)","01","master","Chanokmont RUKSAKIATI","30","14","14","16","P318* (Wed 08:00 - 12:00)","[Room-TBA]"
"THM","ICHT200 Business Communication 4(4-0-8)","01","master","Toby To Wai-Tak","25","16","16","9","1315 (Mon 12:00 - 13:50)                 1315 (Wed 12:00 - 13:50)","[Room-TBA]"
