"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"BBA","ICMB204 Macroeconomics 4(4-0-8)","04","master","Rattakarn KOMONRAT","43","31","42","1","1404 (Mon 12:00 - 13:50)                 1404 (Wed 12:00 - 13:50)","Sat 08-04-2017 12:00 - 13:50 [1417 - Lecture Room]"
"SCI","ICNS103 Fundamental  Mathematics 4(4-0-8)","04","master","Meechoke CHUEDOUNG","25","22","22","3","3304 (Tue 12:00 - 13:50)                 3305 (Thu 12:00 - 13:50)","Sat 08-04-2017 14:00 - 15:50 [Room-TBA]"
"SCI","ICNS104 Fundamental Statistics 4(4-0-8)","04","master","Sumalee UNSURANGSIE","25","25","25","0","3317 (Tue 10:00 - 11:50)                 3303 (Thu 10:00 - 11:50)","Sat 08-04-2017 12:00 - 13:50 [1303 - Lecture Room]"
"BBA","ICMB234 Management and Organizational Behavior 4(4-0-8)","04","master","Wallapa SUENGKAMOLPISUT","40","40","40","0","1303 (Sat 08:00 - 09:50)                 1303 (Sat 10:00 - 11:50)","Wed 05-04-2017 13:00 - 15:50 [1514 - Computer Lab]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","04","master","Matthew FERGUSON","18","18","18","0","5312 (Mon 14:00 - 15:50)                 5312 (Wed 14:00 - 15:50)","[Room-TBA]"
"BBA","ICMB212 Managerial Accounting 4(4-0-8)","04","master","Phassawan SUNTRARUK","40","40","40","0","1403 (Mon 14:00 - 15:50)                 1403 (Wed 14:00 - 15:50)","Sun 09-04-2017 09:00 - 11:30 [1419 - 1419]"
"BBA","ICMB432 Business Ethics 4(4-0-8)","04","master","Volkmar ENSSLIN","40","40","40","0","2303 (Fri 08:00 - 09:50)                 2303 (Fri 10:00 - 11:50)","[Room-TBA]"
"HLD","ICHL182 Spanish II for Hospitality and Tourism Industry 4(4-0-8)","04","joint","Juan Carlos OLMOS ALCOY","20","3","3","5","5212 (Tue 16:00 - 17:50)                 5212 (Thu 16:00 - 17:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICBE447 Corporate Governance and Business Ethics 4(4-0-8)","04","joint","Volkmar ENSSLIN","40","0","0","0","2303 (Fri 08:00 - 09:50)                 2303 (Fri 10:00 - 11:50)","[Room-TBA]"
"HLD","ICPE106 Physical Education : Tennis 1(0-3-1)","04","master","Oam To-aj","22","20","20","2","(Thu 16:00 - 17:50)","[Room-TBA]"
"HLD","ICHM103 Introduction to Logic 4(4-0-8)","04","master","Wayne Michael Lawton","30","21","21","9","5310 (Tue 10:00 - 11:50)                 5310 (Thu 10:00 - 11:50)","Fri 07-04-2017 16:00 - 18:50 [1504 - Lecture Room]"
"BBA","ICMB431 Strategic Management 4(4-0-8)","04","master","Bhubate SAMUTACHAK","40","21","21","19","1403 (Tue 16:00 - 17:50)                 1403 (Thu 16:00 - 17:50)","Sun 09-04-2017 12:00 - 13:50 [1402 - 1402]"
"BBA","ICMB231 Business Communication 4(4-0-8)","04","master","Ron DALE","40","40","40","0","2303 (Tue 08:00 - 09:50)                 2303 (Thu 08:00 - 09:50)","Fri 07-04-2017 18:00 - 19:50 [1402 - 1402]"
"HLD","ICML132 Elementary Chinese II 4(4-0-8)","04","master","Prateep WONGVERAYUT","17","15","15","2","5207 (Tue 10:00 - 11:50)                 5207 (Thu 10:00 - 11:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICPE123 Physical Education: Cycling 1(0-3-1)","04","master","Laird ALLAN","15","11","12","3","(Sat 08:00 - 09:50)","[Room-TBA]"
"BBA","ICMB351 International Business Management 4(4-0-8)","04","master","Nuntana UDOMKIT","40","38","38","2","1503 (Tue 14:00 - 15:50)                 1503 (Thu 14:00 - 15:50)","Fri 07-04-2017 16:00 - 17:50 [1417 - Lecture Room]"
"HLD","ICPE122 Selected Topics in Sports (Cycling) 1(0-3-1)","04","joint","Laird ALLAN","15","1","1","3","(Sat 08:00 - 09:50)","[Room-TBA]"
"SS","ICSO401 Independent Study in the Social Sciences 4(4-0-8)","04","master","Matthew Phillip COPELAND","5","1","1","4","","[Room-TBA]"
"HLD","ICML142 Elementary Spanish II 4(4-0-8)","04","master","Juan Carlos OLMOS ALCOY","20","12","15","5","5212 (Tue 16:00 - 17:50)                 5212 (Thu 16:00 - 17:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICPE118 Physical Education : American Flag Football 1(0-3-1)","04","master","Roman CHIRASANTA","25","23","23","2","(Thu 16:00 - 17:50)","[Room-TBA]"
"HLD","ICPE103 Physical Education : Golf 1(0-3-1)","04","master","Adichai NIRATTISAYANGKOOL","15","14","14","1","(Wed 08:00 - 09:50)","[Room-TBA]"
"BBA","ICMB492 Practical Business Training - Off Campus 12(0-36-12)","04","master","Kandapa THANASUTA","13","13","13","0","","[Room-TBA]"
"HLD","ICPE105 Physical Education : Swimming 1(0-3-1)","04","master","Mahattana KANCHANAPAKORN","15","13","13","2","(Thu 16:00 - 17:50)","[Room-TBA]"
"SCI","ICNS100 Intensive Mathematics 0(4-0-0)","05","master","Ronnachai TIYARATTANACHAI","25","22","22","3","3305 (Mon 08:00 - 09:50)                 3305 (Wed 08:00 - 09:50)","Sat 08-04-2017 08:00 - 09:50 [1314 - Lecture Room]"
"SS","ICSO401 Independent Study in the Social Sciences 4(4-0-8)","05","master","James Alastair WARREN","5","1","1","4","","[Room-TBA]"
"BBA","ICMB341 Business Law 4(4-0-8)","05","master","Chaiyong NGAMPRAVATDEE","40","40","40","0","1304 (Fri 12:00 - 13:50)                 1304 (Fri 14:00 - 15:50)","Wed 05-04-2017 10:00 - 11:50 [1403 - 1403]"
"HLD","ICML160 Introduction to Thai Language and Culture 4(4-0-8)","05","master","Wimonsiri Hemtanon","20","7","7","13","3412 (Mon 14:00 - 15:50)                 3422 (Wed 14:00 - 15:50)","[Room-TBA]"
"HLD","ICPE103 Physical Education : Golf 1(0-3-1)","05","master","Adichai NIRATTISAYANGKOOL","15","15","15","0","(Wed 10:00 - 11:50)","[Room-TBA]"
"BBA","ICMB202 Microeconomics 4(4-0-8)","05","joint","Varang Wiriyawit","40","1","1","1","1314 (Mon 10:00 - 11:50)                 1314 (Wed 10:00 - 11:50)","Mon 03-04-2017 18:00 - 19:50 [1303 - Lecture Room]"
"BBA","ICBE447 Corporate Governance and Business Ethics 4(4-0-8)","05","joint","Volkmar ENSSLIN","40","2","2","1","2303 (Fri 12:00 - 13:50)                 2303 (Fri 14:00 - 15:50)","[Room-TBA]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","05","master","Russell PATTINSON","20","19","19","1","5307 (Mon 16:00 - 17:50)                 5307 (Wed 16:00 - 17:50)","Mon 03-04-2017 12:00 - 13:50 [1504 - Lecture Room]"
"HLD","ICPE117 Physical Education : Mind and Body 1(0-3-1)","05","master","Sumon PANLEARTKITSAKUL","20","19","19","1","(Fri 10:00 - 11:50)","[Room-TBA]"
"HLD","ICML132 Elementary Chinese II 4(4-0-8)","05","master","Hathaikarn MANGKORNPAIBOON","17","8","9","8","3421 (Tue 16:00 - 17:50)                 3421 (Thu 16:00 - 17:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","05","master","John POWER","20","20","20","0","5311 (Mon 12:00 - 13:50)                 5311 (Wed 12:00 - 13:50)","Mon 03-04-2017 10:00 - 11:50 [1504 - Lecture Room]"
"BBA","ICMB221 Principles of Marketing 4(4-0-8)","05","master","Apiradee WONGKITRUNGRUENG","40","40","40","0","1406 (Mon 10:00 - 11:50)                 1406 (Fri 10:00 - 11:50)","Tue 04-04-2017 18:00 - 19:50 [1402 - 1402]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","05","master","William lee BLOCH","18","17","17","1","5313 (Mon 14:00 - 15:50)                 5313 (Wed 14:00 - 15:50)","[Room-TBA]"
"BBA","ICMB432 Business Ethics 4(4-0-8)","05","master","Volkmar ENSSLIN","40","37","39","1","2303 (Fri 12:00 - 13:50)                 2303 (Fri 14:00 - 15:50)","[Room-TBA]"
"HLD","ICHL122 Chinese II for Hospitality and Tourism Industry 4(4-0-8)","05","joint","Hathaikarn MANGKORNPAIBOON","17","1","1","8","3421 (Tue 16:00 - 17:50)                 3421 (Thu 16:00 - 17:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICMI357 Business Communication 4(4-0-8)","05","joint","Ron DALE","40","0","0","0","2303 (Tue 10:00 - 11:50)                 2303 (Thu 10:00 - 11:50)","Fri 07-04-2017 18:00 - 19:50 [1403 - 1403]"
"BBA","ICMB203 Microeconomics 4(4-0-8)","05","master","Varang Wiriyawit","40","38","39","1","1314 (Mon 10:00 - 11:50)                 1314 (Wed 10:00 - 11:50)","Mon 03-04-2017 18:00 - 19:50 [1303 - Lecture Room]"
"HLD","ICPE115 Self Defense 1(0-3-1)","05","master","Somnuek TRAISUTTI","20","21","21","-1","(Wed 16:00 - 17:50)","[Room-TBA]"
"SCI","ICNS104 Fundamental Statistics 4(4-0-8)","05","master","Taweeratana SIWADUNE","25","24","24","1","3410 (Mon 10:00 - 11:50)                 3412 (Wed 10:00 - 11:50)","Sat 08-04-2017 12:00 - 13:50 [Room-TBA]"
"SCI","ICNS103 Fundamental  Mathematics 4(4-0-8)","05","master","Nattapong Bosuwan","25","20","20","5","1303 (Tue 10:00 - 11:50)                 1303 (Thu 10:00 - 11:50)","Sat 08-04-2017 14:00 - 15:50 [1302 - Lecture Room]"
"BBA","ICMB231 Business Communication 4(4-0-8)","05","master","Ron DALE","40","40","40","0","2303 (Tue 10:00 - 11:50)                 2303 (Thu 10:00 - 11:50)","Fri 07-04-2017 18:00 - 19:50 [1403 - 1403]"
"HLD","ICPE105 Physical Education : Swimming 1(0-3-1)","05","master","Mahattana KANCHANAPAKORN","15","14","14","1","(Fri 16:00 - 17:50)","[Room-TBA]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","06","master","Russell PATTINSON","20","20","20","0","5308 (Tue 10:00 - 11:50)                 5308 (Thu 10:00 - 11:50)","Mon 03-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICPE103 Physical Education : Golf 1(0-3-1)","06","master","Adichai NIRATTISAYANGKOOL","15","15","15","0","(Wed 12:00 - 13:50)","[Room-TBA]"
"SCI","ICNS103 Fundamental  Mathematics 4(4-0-8)","06","master","Pallop HUABSOMBOON","25","22","22","3","3302 (Mon 08:00 - 09:50)                 3412 (Wed 08:00 - 09:50)","Sat 08-04-2017 14:00 - 15:50 [Room-TBA]"
"SCI","ICNS104 Fundamental Statistics 4(4-0-8)","06","master","Taweeratana SIWADUNE","25","17","17","8","3410 (Mon 14:00 - 15:50)                 3420 (Wed 14:00 - 15:50)","Sat 08-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","06","master","Julien Robert Phillippe HARDY","20","21","21","-1","5310 (Mon 14:00 - 15:50)                 5310 (Wed 14:00 - 15:50)","Mon 03-04-2017 10:00 - 11:50 [3303 - Lecture Room]"
"HLD","ICPE117 Physical Education : Mind and Body 1(0-3-1)","06","master","Sumon PANLEARTKITSAKUL","20","19","19","1","(Fri 12:00 - 13:50)","[Room-TBA]"
"SS","ICSO401 Independent Study in the Social Sciences 4(4-0-8)","06","master","Natanaree POSRITHONG","5","3","3","2","","[Room-TBA]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","06","master","Anjana SUKUMARY","18","19","19","-1","5313 (Tue 08:00 - 09:50)                 5313 (Thu 08:00 - 09:50)","[Room-TBA]"
"SCI","ICNS100 Intensive Mathematics 0(4-0-0)","06","master","Ruth J  SKULKHU","25","23","23","2","3410 (Tue 10:00 - 11:50)                 3407 (Thu 10:00 - 11:50)","Sat 08-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICPE115 Self Defense 1(0-3-1)","06","master","Somnuek TRAISUTTI","20","19","19","1","(Thu 14:00 - 15:50)","[Room-TBA]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","07","master","Phillip STIENS","20","19","19","1","5307 (Tue 10:00 - 11:50)                 5307 (Thu 10:00 - 11:50)","Mon 03-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICPE115 Self Defense 1(0-3-1)","07","master","Somnuek TRAISUTTI","20","19","19","1","(Thu 16:00 - 17:50)","[Room-TBA]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","07","master","Mark Conrad RODELL","18","20","20","-2","5312 (Tue 10:00 - 11:50)                 5312 (Thu 10:00 - 11:50)","[Room-TBA]"
"SS","ICSO401 Independent Study in the Social Sciences 4(4-0-8)","07","master","Deekana TIPCHANTA","5","1","1","4","","[Room-TBA]"
"SCI","ICNS103 Fundamental  Mathematics 4(4-0-8)","07","master","Ronnachai TIYARATTANACHAI","25","23","23","2","3306 (Mon 10:00 - 11:50)                 3306 (Wed 10:00 - 11:50)","Sat 08-04-2017 14:00 - 15:50 [1303 - Lecture Room]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","07","master","Walter PERSAUD","20","14","14","6","5308 (Mon 14:00 - 15:50)                 5308 (Wed 14:00 - 15:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"SCI","ICNS104 Fundamental Statistics 4(4-0-8)","07","master","Varumpa TEMAISMITHI","25","27","27","-2","3305 (Tue 14:00 - 15:50)                 3305 (Thu 14:00 - 15:50)","Sat 08-04-2017 12:00 - 13:50 [1304 - Lecture Room]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","08","master","Julien Robert Phillippe HARDY","20","20","20","0","5310 (Mon 16:00 - 17:50)                 5310 (Wed 16:00 - 17:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"SCI","ICNS100 Intensive Mathematics 0(4-0-0)","08","master","Wiroonsak SANTIPACH","25","23","23","2","3306 (Mon 14:00 - 15:50)                 3306 (Wed 14:00 - 15:50)","Sat 08-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","08","master","Anjana SUKUMARY","18","18","18","0","5313 (Tue 10:00 - 11:50)                 5313 (Thu 10:00 - 11:50)","[Room-TBA]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","08","master","Russell PATTINSON","20","20","20","0","5308 (Tue 12:00 - 13:50)                 5308 (Thu 12:00 - 13:50)","Mon 03-04-2017 12:00 - 13:50 [Room-TBA]"
"SCI","ICNS103 Fundamental  Mathematics 4(4-0-8)","09","master","Wiroonsak SANTIPACH","25","24","24","1","3306 (Mon 16:00 - 17:50)                 3306 (Wed 16:00 - 17:50)","Sat 08-04-2017 14:00 - 15:50 [1304 - Lecture Room]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","09","master","William lee BLOCH","20","20","20","0","5313 (Mon 16:00 - 17:50)                 5313 (Wed 16:00 - 17:50)","Mon 03-04-2017 10:00 - 11:50 [1314 - Lecture Room]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","09","master","Mariejoy BUENAVENTURA","20","15","15","5","5309 (Tue 16:00 - 17:50)                 5309 (Thu 16:00 - 17:50)","Mon 03-04-2017 12:00 - 13:50 [3303 - Lecture Room]"
"HLD","ICCM106 Intermediate English Communication III 4(4-0-8)","09","master","William lee BLOCH","18","19","19","-1","5313 (Tue 16:00 - 17:50)                 5313 (Thu 16:00 - 17:50)","[Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","10","master","Analiza AMURAO","20","19","19","1","5309 (Tue 08:00 - 09:50)                 5309 (Thu 08:00 - 09:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","11","master","John POWER","20","19","19","1","5312 (Tue 08:00 - 09:50)                 5312 (Thu 08:00 - 09:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","12","master","Analiza AMURAO","20","20","20","0","5309 (Tue 10:00 - 11:50)                 5309 (Thu 10:00 - 11:50)","Mon 03-04-2017 10:00 - 11:50 [1305 - Lecture Room]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","13","master","James WHITLAM","20","20","20","0","5311 (Tue 10:00 - 11:50)                 5311 (Thu 10:00 - 11:50)","Mon 03-04-2017 10:00 - 11:50 [1306 - Lecture Room]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","14","master","James WHITLAM","20","19","19","1","5311 (Tue 12:00 - 13:50)                 5311 (Thu 12:00 - 13:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","15","master","Walter PERSAUD","20","15","15","5","5309 (Tue 12:00 - 13:50)                 5309 (Thu 12:00 - 13:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","16","master","John POWER","20","9","9","11","5312 (Tue 12:00 - 13:50)                 5312 (Thu 12:00 - 13:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","17","master","Andrew FORSTER","20","20","20","0","5311 (Tue 14:00 - 15:50)                 5311 (Thu 14:00 - 15:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","18","master","William lee BLOCH","20","20","20","0","5309 (Tue 14:00 - 15:50)                 5309 (Thu 14:00 - 15:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","19","master","Matthew FERGUSON","20","20","20","0","5312 (Tue 14:00 - 15:50)                 5312 (Thu 14:00 - 15:50)","Mon 03-04-2017 10:00 - 11:50 [1417 - Lecture Room]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","20","master","Matthew FERGUSON","20","9","9","11","5312 (Tue 16:00 - 17:50)                 5312 (Thu 16:00 - 17:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","21","master","Julien Robert Phillippe HARDY","20","17","17","3","5310 (Tue 16:00 - 17:50)                 5310 (Thu 16:00 - 17:50)","Mon 03-04-2017 10:00 - 11:50 [3304 - Lecture Room]"
